machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status
pi-i9-13900k	qd	theta1	104	base1	1	0	0abc064f632dd6ff	3	1.88	1.880614	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	head1	1	0	0abc064f632dd6ff	1	1.81	1.814841	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	head1	1	0	0abc064f632dd6ff	2	1.82	1.817319	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	head1	1	0	0abc064f632dd6ff	3	1.81	1.815201	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	1.76	1.764985	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	1.77	1.765398	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	1.76	1.765003	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	0.96	0.964962	43	pdOPT	2.3000000000000000e+01	4.4	ok
pi-i9-13900k	qd	theta1	104	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	0.96	0.965831	43	pdOPT	2.3000000000000000e+01	4.4	ok
pi-i9-13900k	qd	theta1	104	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	0.96	0.965287	43	pdOPT	2.3000000000000000e+01	4.4	ok
pi-i9-13900k	qd	theta1	104	base24	24	0-31	0abc064f632dd6ff	1	1.77	1.770446	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	base24	24	0-31	0abc064f632dd6ff	2	1.79	1.789503	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	base24	24	0-31	0abc064f632dd6ff	3	1.77	1.770319	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	head24	24	0-31	0abc064f632dd6ff	1	0.96	0.959811	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	theta1	104	head24	24	0-31	0abc064f632dd6ff	2	0.97	0.975355	43	pdOPT	2.3000000000000000e+01	4.4	ok
pi-i9-13900k	qd	theta1	104	head24	24	0-31	0abc064f632dd6ff	3	0.96	0.961403	43	pdOPT	2.3000000000000000e+01	4.2	ok
pi-i9-13900k	qd	truss5	208	base1	1	0	0abc064f632dd6ff	1	7.06	7.055843	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	base1	1	0	0abc064f632dd6ff	2	7.08	7.069251	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	base1	1	0	0abc064f632dd6ff	3	7.06	7.054880	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	head1	1	0	0abc064f632dd6ff	1	7.07	7.061708	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	head1	1	0	0abc064f632dd6ff	2	7.06	7.051648	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	head1	1	0	0abc064f632dd6ff	3	7.06	7.048719	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	5.11	5.099005	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	5.09	5.082454	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	5.09	5.083646	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	4.62	4.610825	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	4.6	4.591247	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	4.6	4.591290	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	base24	24	0-31	0abc064f632dd6ff	1	5	4.991973	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	base24	24	0-31	0abc064f632dd6ff	2	5.02	5.010653	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	base24	24	0-31	0abc064f632dd6ff	3	5	4.992268	48	pdOPT	-1.3263567797250604e+02	6.2	ok
pi-i9-13900k	qd	truss5	208	head24	24	0-31	0abc064f632dd6ff	1	4.55	4.540358	48	pdOPT	-1.3263567797250604e+02	7.9	ok
pi-i9-13900k	qd	truss5	208	head24	24	0-31	0abc064f632dd6ff	2	4.55	4.539156	48	pdOPT	-1.3263567797250604e+02	7.9	ok
pi-i9-13900k	qd	truss5	208	head24	24	0-31	0abc064f632dd6ff	3	4.57	4.559738	48	pdOPT	-1.3263567797250604e+02	7.9	ok
pi-i9-13900k	qd	arch0	174	base1	1	0	0abc064f632dd6ff	1	87.29	87.274209	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	base1	1	0	0abc064f632dd6ff	2	87.29	87.275764	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	base1	1	0	0abc064f632dd6ff	3	87.29	87.274039	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	head1	1	0	0abc064f632dd6ff	1	85.37	85.353865	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	head1	1	0	0abc064f632dd6ff	2	85.39	85.377780	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	head1	1	0	0abc064f632dd6ff	3	85.39	85.379601	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	51.42	51.402654	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	51.41	51.392111	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	base8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	51.44	51.426145	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	1	19.48	19.462569	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	2	19.43	19.414039	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	head8	8	0,2,4,6,8,10,12,14	0abc064f632dd6ff	3	19.34	19.320932	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	base24	24	0-31	0abc064f632dd6ff	1	49.44	49.428098	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	base24	24	0-31	0abc064f632dd6ff	2	49.45	49.435162	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	base24	24	0-31	0abc064f632dd6ff	3	49.41	49.397172	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	head24	24	0-31	0abc064f632dd6ff	1	15.58	15.567586	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	head24	24	0-31	0abc064f632dd6ff	2	15.61	15.591269	53	pdOPT	5.6651727321592960e-01	14.2	ok
pi-i9-13900k	qd	arch0	174	head24	24	0-31	0abc064f632dd6ff	3	15.59	15.573062	53	pdOPT	5.6651727321592960e-01	14.2	ok
