machine	backend	problem	m	config	threads	cpuset	repeat	wall_s	mainloop_s	iters	obj	peak_rss_MB	status
thanos-epyc7232p	qd	arch0	174	pristine	1	0	3	268.39	267.410000	53	5.6651727321592960e-01	13.7	ok
thanos-epyc7232p	qd	arch0	174	hardened1	1	0	1	262.95	262.889976	53	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	hardened1	1	0	2	262.57	262.514812	53	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	hardened1	1	0	3	262.84	262.775228	53	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	hardened4	4	0-3	1	188.24	188.184959	53	5.6651727321592960e-01	14.1	ok
thanos-epyc7232p	qd	arch0	174	hardened4	4	0-3	2	188.47	188.413930	53	5.6651727321592960e-01	14.1	ok
thanos-epyc7232p	qd	arch0	174	hardened4	4	0-3	3	188.48	188.419871	53	5.6651727321592960e-01	14.1	ok
thanos-epyc7232p	qd	arch0	174	hardened8	8	0-7	1	171.67	171.606062	53	5.6651727321592960e-01	14.1	ok
thanos-epyc7232p	qd	arch0	174	hardened8	8	0-7	2	171.84	171.779500	53	5.6651727321592960e-01	14.1	ok
thanos-epyc7232p	qd	arch0	174	hardened8	8	0-7	3	172.02	171.955018	53	5.6651727321592960e-01	14.1	ok
