machine	backend	problem	m	config	threads	cpuset	param_sha	repeat	wall_s	mainloop_s	iters	phase	obj	peak_rss_MB	status
thanos-epyc7232p	qd	truss5	208	base_t8	8	0-7	0abc064f632dd6ff	1	16.35	16.309126	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	base_t8	8	0-7	0abc064f632dd6ff	2	16.35	16.313097	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	base_t8	8	0-7	0abc064f632dd6ff	3	16.36	16.317883	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	head_t1	1	0	0abc064f632dd6ff	1	20.71	20.674730	48	pdOPT	-1.3263567797250604e+02	11.2	ok
thanos-epyc7232p	qd	truss5	208	head_t1	1	0	0abc064f632dd6ff	2	20.72	20.678487	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	head_t1	1	0	0abc064f632dd6ff	3	20.69	20.653345	48	pdOPT	-1.3263567797250604e+02	11.4	ok
thanos-epyc7232p	qd	truss5	208	head_t8	8	0-7	0abc064f632dd6ff	1	14.98	14.939171	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	head_t8	8	0-7	0abc064f632dd6ff	2	14.99	14.952761	48	pdOPT	-1.3263567797250604e+02	11.3	ok
thanos-epyc7232p	qd	truss5	208	head_t8	8	0-7	0abc064f632dd6ff	3	14.99	14.952897	48	pdOPT	-1.3263567797250604e+02	11.2	ok
thanos-epyc7232p	qd	arch0	174	base_t1	1	0	0abc064f632dd6ff	1	260.42	260.360722	53	pdOPT	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	base_t1	1	0	0abc064f632dd6ff	2	260.57	260.512532	53	pdOPT	5.6651727321592960e-01	14.1	ok
thanos-epyc7232p	qd	arch0	174	base_t1	1	0	0abc064f632dd6ff	3	260.66	260.598401	53	pdOPT	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	base_t8	8	0-7	0abc064f632dd6ff	1	168.19	168.131445	53	pdOPT	5.6651727321592960e-01	14.1	ok
thanos-epyc7232p	qd	arch0	174	base_t8	8	0-7	0abc064f632dd6ff	2	168.11	168.051246	53	pdOPT	5.6651727321592960e-01	14.1	ok
thanos-epyc7232p	qd	arch0	174	base_t8	8	0-7	0abc064f632dd6ff	3	167.50	167.437127	53	pdOPT	5.6651727321592960e-01	14.1	ok
thanos-epyc7232p	qd	arch0	174	head_t1	1	0	0abc064f632dd6ff	1	252.08	252.021629	53	pdOPT	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	head_t1	1	0	0abc064f632dd6ff	2	252.12	252.058132	53	pdOPT	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	head_t1	1	0	0abc064f632dd6ff	3	252.29	252.229762	53	pdOPT	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	head_t8	8	0-7	0abc064f632dd6ff	1	79.08	79.020827	53	pdOPT	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	head_t8	8	0-7	0abc064f632dd6ff	2	79.11	79.053763	53	pdOPT	5.6651727321592960e-01	14.2	ok
thanos-epyc7232p	qd	arch0	174	head_t8	8	0-7	0abc064f632dd6ff	3	79.00	78.938572	53	pdOPT	5.6651727321592960e-01	14.2	ok
